"passer_player_id","passer_player_name","posteam","attempts","completions","pass_yards","pass_tds","interceptions","epa_per_play","cpoe","success_rate","deep_attempts","deep_completions","deep_yards","deep_tds","comp_pct","td_int_ratio","deep_comp_pct","yards_per_attempt","team_color"
"00-0039851","D.Maye","NE",540,354,4195,31,8,0.297884965533677,10.7812747390846,0.544444444444444,70,35,1093,7,0.655555555555556,3.875,0.5,7.76851851851852,"#002244"
"00-0036264","J.Love","GB",462,291,3216,23,6,0.239418371932691,5.53295734880034,0.495670995670996,62,26,823,4,0.62987012987013,3.83333333333333,0.419354838709677,6.96103896103896,"#203731"
"00-0026498","M.Stafford","LA",620,388,4557,46,8,0.227305079462205,1.59162590215946,0.530645161290323,90,39,1257,10,0.625806451612903,5.75,0.433333333333333,7.35,"#003594"
"00-0037834","B.Purdy","SF",298,197,2116,20,10,0.194468950837294,7.22850085619618,0.533557046979866,35,21,579,3,0.661073825503356,2,0.6,7.1006711409396,"#AA0000"
"00-0033106","J.Goff","DET",616,393,4305,34,8,0.172824920843576,1.77659557743387,0.482142857142857,39,19,521,5,0.637987012987013,4.25,0.487179487179487,6.98863636363636,"#0076B6"
"00-0033077","D.Prescott","DAL",634,404,4350,30,10,0.168260191986056,2.16455712200028,0.481072555205047,66,29,1071,5,0.637223974763407,3,0.439393939393939,6.86119873817035,"#002244"
"00-0035710","D.Jones","IND",411,261,2945,19,8,0.139898946681701,2.29714193229062,0.498783454987835,37,16,562,3,0.635036496350365,2.375,0.432432432432432,7.1654501216545,"#002C5F"
"00-0033873","P.Mahomes","KC",539,315,3398,22,11,0.126617700883436,0.336414833905581,0.476808905380334,66,21,743,1,0.584415584415584,2,0.318181818181818,6.30426716141002,"#E31837"
"00-0036972","M.Jones","SF",307,201,2045,13,6,0.124560365697323,3.67856692495964,0.517915309446254,22,4,122,0,0.654723127035831,2.16666666666667,0.181818181818182,6.66123778501629,"#AA0000"
"00-0034869","S.Darnold","SEA",506,323,3866,25,14,0.124192891519673,5.23820176489337,0.515810276679842,53,28,978,7,0.638339920948617,1.78571428571429,0.528301886792453,7.6403162055336,"#002244"
"00-0034857","J.Allen","BUF",507,319,3372,25,10,0.120378050490063,3.51485859142261,0.465483234714004,52,21,626,4,0.629191321499014,2.5,0.403846153846154,6.6508875739645,"#00338D"
"00-0036442","J.Burrow","CIN",278,173,1696,18,5,0.0991456405853938,4.65429821201871,0.489208633093525,28,10,322,3,0.622302158273381,3.6,0.357142857142857,6.10071942446043,"#FB4F14"
"00-0039732","B.Nix","DEN",639,388,3820,25,11,0.0915399705475016,-1.1956391265012,0.442879499217527,72,25,789,9,0.607198748043818,2.27272727272727,0.347222222222222,5.97809076682316,"#002244"
"00-0039163","C.Stroud","HOU",449,273,2852,19,8,0.0860581555229753,0.357673352495988,0.4543429844098,47,16,566,5,0.608017817371938,2.375,0.340425531914894,6.35189309576837,"#03202F"
"00-0039918","C.Williams","CHI",596,330,3779,27,7,0.0707664567968918,-3.50543139891933,0.431208053691275,82,32,967,11,0.553691275167785,3.85714285714286,0.390243902439024,6.34060402684564,"#0B162A"
"00-0036971","T.Lawrence","JAX",603,341,3760,29,12,0.0546979262148194,-1.88176378552966,0.462686567164179,75,29,850,4,0.565505804311774,2.41666666666667,0.386666666666667,6.23548922056385,"#006778"
"00-0036389","J.Hurts","PHI",488,294,3043,25,6,0.0519735692130256,3.18333108754571,0.430327868852459,65,24,881,9,0.602459016393443,4.16666666666667,0.369230769230769,6.23565573770492,"#004C54"
"00-0032950","C.Wentz","MIN",189,110,1093,6,5,0.033336523625147,1.11124149020414,0.486772486772487,20,7,249,0,0.582010582010582,1.2,0.35,5.78306878306878,"#4F2683"
"00-0035228","K.Murray","ARI",177,110,851,6,3,0.0323197238742283,-0.52878065094067,0.435028248587571,16,4,151,0,0.621468926553672,2,0.25,4.80790960451977,"#97233F"
"00-0026158","J.Flacco","CIN",267,158,1604,14,4,0.0313155260346052,-1.90959779545665,0.456928838951311,28,11,337,4,0.591760299625468,3.5,0.392857142857143,6.00749063670412,"#FB4F14"
"00-0023459","A.Rodgers","PIT",529,327,3144,24,7,0.0268824920701574,0.0416869013491323,0.431001890359168,48,16,550,5,0.618147448015123,3.42857142857143,0.333333333333333,5.94328922495274,"#000000"
"00-0036212","T.Tagovailoa","MIA",417,260,2467,20,15,0.0198245704244189,2.02027069843881,0.45083932853717,33,10,334,2,0.623501199040767,1.33333333333333,0.303030303030303,5.91606714628297,"#008E97"
"00-0034796","L.Jackson","BAL",340,192,2312,21,7,0.019223111819452,1.75868267129207,0.452941176470588,41,19,616,6,0.564705882352941,3,0.463414634146341,6.8,"#241773"
"00-0036355","J.Herbert","LAC",566,340,3426,26,13,0.00796174879953054,1.57492858195594,0.452296819787986,64,24,756,6,0.600706713780919,2,0.375,6.0530035335689,"#007BC7"
