"rusher_player_id","rusher_player_name","posteam","carries","rush_yards","rush_tds","epa_per_rush","success_rate","yards_per_carry","first_downs","targets","receptions","rec_yards","rec_tds","total_yards","total_tds","scrimmage_touches","team_color"
"00-0037248","J.Cook","BUF",309,1621,12,0.0180452282880723,0.456310679611651,5.24595469255663,69,40,33,291,2,1912,14,342,"#00338D"
"00-0032764","D.Henry","BAL",307,1595,16,0.0298572451799113,0.416938110749186,5.19543973941368,80,21,15,150,0,1745,16,322,"#241773"
"00-0036223","J.Taylor","IND",324,1587,18,0.0579371444748356,0.444444444444444,4.89814814814815,85,56,46,378,2,1965,20,370,"#002C5F"
"00-0038542","B.Robinson","ATL",288,1480,7,-0.042550795869677,0.413194444444444,5.13888888888889,64,103,79,820,5,2300,12,367,"#A71930"
"00-0039040","D.Achane","MIA",238,1350,8,0.0589867729227096,0.382352941176471,5.67226890756303,57,85,67,481,5,1831,13,305,"#008E97"
"00-0037840","K.Williams","LA",259,1252,10,0.0190254802698608,0.501930501930502,4.83397683397683,75,50,36,281,3,1533,13,295,"#003594"
"00-0039139","J.Gibbs","DET",243,1223,13,-0.0109754707451682,0.39917695473251,5.03292181069959,57,94,77,613,5,1836,18,320,"#0076B6"
"00-0033280","C.McCaffrey","SF",311,1202,10,-0.0676876242375339,0.392282958199357,3.86495176848875,73,129,102,904,7,2106,17,413,"#AA0000"
"00-0036997","J.Williams","DAL",252,1201,11,0.0484325545162082,0.456349206349206,4.76587301587302,67,51,35,137,2,1338,13,287,"#002244"
"00-0034844","S.Barkley","PHI",281,1142,7,-0.0857529527248239,0.377224199288256,4.06405693950178,51,51,37,273,2,1415,9,318,"#004C54"
"00-0036973","T.Etienne","JAX",260,1107,7,-0.0730109384606352,0.357692307692308,4.25769230769231,51,52,36,292,6,1399,13,296,"#006778"
"00-0036275","D.Swift","CHI",223,1087,9,0.0692786703198171,0.479820627802691,4.87443946188341,63,48,34,290,1,1377,10,257,"#0B162A"
"00-0035261","T.Pollard","TEN",242,1082,5,-0.0896458122746416,0.392561983471074,4.47107438016529,48,41,33,206,1,1288,6,275,"#002244"
"00-0036139","R.Dowdle","CAR",237,1076,6,-0.00972853406131387,0.421940928270042,4.54008438818565,54,50,39,297,1,1373,7,276,"#0085CA"
"00-0038120","B.Hall","NYJ",243,1065,4,-0.0916321379047054,0.407407407407407,4.38271604938272,57,48,36,350,1,1415,5,279,"#003F2D"
"00-0038134","K.Walker","SEA",221,1027,5,-0.0646783093941925,0.380090497737557,4.64705882352941,48,36,31,282,0,1309,5,252,"#002244"
"00-0038597","C.Brown","CIN",233,1019,6,-0.0182032646266454,0.399141630901288,4.37339055793991,52,89,69,416,6,1435,12,302,"#FB4F14"
"00-0040122","A.Jeanty","LV",267,975,5,-0.244123735477325,0.318352059925094,3.65168539325843,45,73,55,346,6,1321,11,322,"#000000"
"00-0037228","J.Warren","PIT",211,958,6,-0.00237070741622943,0.42654028436019,4.54028436018957,52,45,40,333,2,1291,8,251,"#000000"
"00-0035700","J.Jacobs","GB",234,929,13,-0.063401689441567,0.435897435897436,3.97008547008547,56,44,36,282,1,1211,14,270,"#203731"
"00-0040734","T.Henderson","NE",180,911,9,0.0468574155399219,0.416666666666667,5.06111111111111,45,42,35,221,1,1132,10,215,"#002244"
"00-0040784","Q.Judkins","CLE",231,829,7,-0.108670436919921,0.333333333333333,3.58874458874459,51,36,26,171,0,1000,7,257,"#FF3C00"
"00-0040242","J.Croskey-Merritt","WAS",176,805,8,-0.0371067030779483,0.426136363636364,4.57386363636364,41,13,9,68,0,873,8,185,"#5A1414"
"00-0040236","K.Monangai","CHI",171,787,5,0.0214706505005458,0.461988304093567,4.60233918128655,43,30,18,164,0,951,5,189,"#0B162A"
"00-0036158","J.Dobbins","DEN",153,772,4,0.0273479530582086,0.457516339869281,5.04575163398693,37,14,11,37,0,809,4,164,"#002244"
"00-0037525","J.Mason","MIN",159,758,6,-0.0363110343923092,0.465408805031447,4.76729559748428,45,16,14,51,0,809,6,173,"#4F2683"
"00-0039738","B.Corum","LA",145,746,6,0.109851953329655,0.510344827586207,5.1448275862069,45,14,8,36,0,782,6,153,"#003594"
"00-0039384","T.Tracy","NYG",176,740,2,-0.0556039143176262,0.369318181818182,4.20454545454545,42,48,36,288,2,1028,4,212,"#0B2265"
"00-0039165","Z.Charbonnet","SEA",185,732,12,-0.00624987642414523,0.416216216216216,3.95675675675676,51,24,20,144,0,876,12,205,"#002244"
"00-0035685","D.Montgomery","DET",159,718,8,0.00296853331667107,0.433962264150943,4.51572327044025,42,29,24,192,0,910,8,183,"#0076B6"
"00-0040583","W.Marks","HOU",196,703,2,-0.148869604269161,0.362244897959184,3.58673469387755,41,36,24,208,3,911,5,220,"#03202F"
"00-0039391","K.Vidal","LAC",155,643,3,-0.0908971247546548,0.361290322580645,4.14838709677419,35,22,16,136,1,779,4,171,"#007BC7"
"00-0033923","K.Hunt","KC",163,611,8,0.0593216159305407,0.478527607361963,3.74846625766871,55,25,18,143,1,754,9,181,"#E31837"
"00-0036875","R.Stevenson","NE",131,605,7,-0.139513019713824,0.374045801526718,4.61832061068702,29,38,32,347,2,952,9,163,"#002244"
"00-0039361","B.Irving","TB",173,588,1,-0.205649781529785,0.346820809248555,3.39884393063584,27,35,30,277,3,865,4,203,"#A71930"
"00-0034857","J.Allen","BUF",112,579,14,0.346183644905331,0.571428571428571,5.16964285714286,47,0,0,0,0,579,14,112,"#00338D"
"00-0037256","R.White","TB",133,572,4,0.0784116045887612,0.481203007518797,4.30075187969925,40,45,40,218,0,790,4,173,"#A71930"
"00-0033293","A.Jones","MIN",132,548,2,-0.0179903049871864,0.431818181818182,4.15151515151515,29,41,28,199,1,747,3,160,"#4F2683"
