"passer_player_id","passer_player_name","posteam","attempts","completions","yards","touchdowns","interceptions","epa_per_play","success_rate","cpoe","air_yards_per_att","yac_per_comp","third_down_success","deep_att","deep_comp","deep_yards","deep_td","explosive_passes","completion_pct","yards_per_attempt","deep_comp_pct","td_int_ratio","explosive_rate","team_name","team_id","team_nick","team_conf","team_division","team_color","team_color2","team_color3","team_color4","team_logo_wikipedia","team_logo_espn","team_wordmark","team_conference_logo","team_league_logo","team_logo_squared"
"00-0023459","A.Rodgers","PIT",529,327,3322,25,7,0.0268824920701574,0.431001890359168,0.0416869013491323,6.04016064257028,6.48012232415902,0.353333333333333,48,16,550,5,38,61.8147448015123,6.27977315689981,33.3333333333333,3.57142857142857,7.18336483931947,"Pittsburgh Steelers","3900","Steelers","AFC","AFC North","#000000","#FFB612","#c60c30","#00539b","https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PIT.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PIT.png"
"00-0026158","J.Flacco","CIN",267,158,1664,16,4,0.0313155260346052,0.456928838951311,-1.90959779545665,7.34375,4.72151898734177,0.375,28,11,337,4,17,59.1760299625468,6.23220973782772,39.2857142857143,4,6.36704119850187,"Cincinnati Bengals","0920","Bengals","AFC","AFC North","#FB4F14","#000000","#000000","#d32f1e","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CIN.png"
"00-0026158","J.Flacco","CLE",169,93,815,3,6,-0.33868558405791,0.337278106508876,-4.32581996468649,7.29375,4.32258064516129,0.319148936170213,19,4,119,0,8,55.0295857988166,4.82248520710059,21.0526315789474,0.5,4.73372781065089,"Cleveland Browns","1050","Browns","AFC","AFC North","#FF3C00","#311D00","#a5acaf","#d32f1e","https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CLE.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CLE.png"
"00-0026498","M.Stafford","LA",620,388,4707,48,8,0.227305079462205,0.530645161290323,1.59162590215946,9.09212730318258,4.7680412371134,0.430555555555556,90,39,1257,10,72,62.5806451612903,7.59193548387097,43.3333333333333,6,11.6129032258065,"Los Angeles Rams","2510","Rams","NFC","NFC West","#003594","#FFD100","#001532","#af925d","https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LA.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LA.png"
"00-0028118","T.Taylor","NYJ",148,80,779,6,5,-0.0899656133478573,0.425675675675676,-0.877602879456648,8.54477611940299,4.1375,0.30952380952381,20,3,107,1,6,54.0540540540541,5.26351351351351,15,1.2,4.05405405405405,"New York Jets","3430","Jets","AFC","AFC East","#003F2D","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYJ.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYJ.png"
"00-0029263","R.Wilson","NYG",129,69,831,3,3,-0.12152288363754,0.364341085271318,-1.47996957695812,8.89075630252101,5.44927536231884,0.289473684210526,19,8,290,3,13,53.4883720930233,6.44186046511628,42.1052631578947,1,10.077519379845,"New York Giants","3410","Giants","NFC","NFC East","#0B2265","#A71930","#a5acaf","#012352","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYG.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYG.png"
"00-0029604","K.Cousins","ATL",284,166,1721,11,5,-0.0193454056494218,0.443661971830986,-2.79932229542265,6.95167286245353,5.92168674698795,0.353658536585366,25,4,137,1,21,58.4507042253521,6.05985915492958,16,2.2,7.3943661971831,"Atlanta Falcons","0200","Falcons","NFC","NFC South","#A71930","#000000","#a5acaf","#a30d2d","https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ATL.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ATL.png"
"00-0030565","G.Smith","LV",505,302,3025,20,17,-0.144398823859126,0.421782178217822,0.70712558716257,6.16517857142857,5.67218543046358,0.366906474820144,44,15,510,3,33,59.8019801980198,5.99009900990099,34.0909090909091,1.17647058823529,6.53465346534654,"Las Vegas Raiders","2520","Raiders","AFC","AFC West","#000000","#A5ACAF","#a6aeb0","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LV.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LV.png"
"00-0032268","M.Mariota","WAS",246,139,1695,11,7,-0.0158478538372642,0.467479674796748,3.19710616554533,10.1101321585903,4.59712230215827,0.377049180327869,40,12,427,2,22,56.5040650406504,6.89024390243902,30,1.57142857142857,8.94308943089431,"Washington Commanders","5110","Commanders","NFC","NFC East","#5A1414","#FFB612","#000000","#5b2b2f","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Washington_commanders.svg/100px-Washington_commanders.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/WAS.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/WAS.png"
"00-0032950","C.Wentz","MIN",189,110,1216,7,5,0.033336523625147,0.486772486772487,1.11124149020414,7.62130177514793,5.20909090909091,0.363636363636364,20,7,249,0,15,58.2010582010582,6.43386243386243,35,1.4,7.93650793650794,"Minnesota Vikings","3000","Vikings","NFC","NFC North","#4F2683","#FFC62F","#e9bf9b","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/min.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIN.png"
